Currency,Date,Time,Open,High,Low,Close,Volume
ZEC,2016-11-02,21:30:00,1.35519999,1.37,1.31999501,1.32002001,38.54581698
ZEC,2016-11-02,21:45:00,1.32004001,1.329995,1.2765,1.31498997,26.601249839999998
ZEC,2016-11-02,22:00:00,1.30841501,1.417,1.301148,1.40999999,42.958293389999994
ZEC,2016-11-02,22:15:00,1.40000501,1.47605168,1.38760983,1.41361376,50.99228619
ZEC,2016-11-02,22:30:00,1.41361376,1.43,1.353,1.3531,24.3464653
ZEC,2016-11-02,22:45:00,1.3531,1.38,1.281,1.32,24.60797078
ZEC,2016-11-02,23:00:00,1.299,1.36,1.299,1.34499998,19.22607856
ZEC,2016-11-02,23:15:00,1.34371594,1.34452553,1.30000001,1.31010688,16.028620749999998
ZEC,2016-11-02,23:30:00,1.31010688,1.324995,1.28,1.308,20.961256999999996
ZEC,2016-11-02,23:45:00,1.30800499,1.32,1.255,1.255,31.91161879
ZEC,2016-11-03,00:00:00,1.255,1.2573319,1.24,1.24,22.37849252
ZEC,2016-11-03,00:15:00,1.24,1.303207,1.23511022,1.29061003,34.09530444
ZEC,2016-11-03,00:30:00,1.29999999,1.35,1.29061003,1.330005,26.05763642
ZEC,2016-11-03,00:45:00,1.330005,1.34,1.295,1.298,17.48743265
ZEC,2016-11-03,01:00:00,1.29619861,1.31000501,1.29619861,1.296204,7.24637351
ZEC,2016-11-03,01:15:00,1.296204,1.32,1.2961986,1.300211,5.5851736899999995
ZEC,2016-11-03,01:30:00,1.300211,1.32766592,1.3,1.32249998,9.15749205
ZEC,2016-11-03,01:45:00,1.32249998,1.367,1.31,1.36,12.161807589999999
ZEC,2016-11-03,02:00:00,1.36,1.4,1.33,1.36,26.99718592
ZEC,2016-11-03,02:15:00,1.36000001,1.40215891,1.342005,1.40215891,12.206324120000001
ZEC,2016-11-03,02:30:00,1.39427182,1.39427182,1.335745,1.35652313,21.22263314
ZEC,2016-11-03,02:45:00,1.35652313,1.373815,1.332,1.33200001,6.6736695
ZEC,2016-11-03,03:00:00,1.33200001,1.33919274,1.312,1.31538379,13.34810241
ZEC,2016-11-03,03:15:00,1.31538379,1.329895,1.288,1.29999997,17.29881582
ZEC,2016-11-03,03:30:00,1.29999997,1.30806,1.29101087,1.29101087,7.8727101699999995
ZEC,2016-11-03,03:45:00,1.29101088,1.298995,1.28344648,1.298995,9.75497963
ZEC,2016-11-03,04:00:00,1.28551003,1.3,1.28345102,1.28554012,7.10168821
ZEC,2016-11-03,04:15:00,1.28554011,1.28554011,1.25689006,1.260005,10.76175675
ZEC,2016-11-03,04:30:00,1.26001,1.26001,1.24,1.24500004,13.236223070000001
ZEC,2016-11-03,04:45:00,1.24503507,1.259,1.243531,1.24504954,5.44365829
ZEC,2016-11-03,05:00:00,1.25899998,1.26589797,1.22555855,1.23999499,14.458380510000001
ZEC,2016-11-03,05:15:00,1.23999499,1.279683,1.22851502,1.272995,21.862018650000003
ZEC,2016-11-03,05:30:00,1.261105,1.27299,1.2411,1.26045,6.55338124
ZEC,2016-11-03,05:45:00,1.25764102,1.260975,1.21999,1.23010005,22.08623617
ZEC,2016-11-03,06:00:00,1.23010502,1.28339998,1.22035001,1.24711399,18.697534689999998
ZEC,2016-11-03,06:15:00,1.24001,1.24999399,1.23,1.23,7.02929045
ZEC,2016-11-03,06:30:00,1.234995,1.234995,1.22069999,1.22070004,5.4459231500000005
ZEC,2016-11-03,06:45:00,1.22070006,1.2834,1.22067803,1.26202,19.44675394
ZEC,2016-11-03,07:00:00,1.26301,1.302,1.26,1.26010501,38.419118610000005
ZEC,2016-11-03,07:15:00,1.26000007,1.3,1.244011,1.29761411,9.09150306
ZEC,2016-11-03,07:30:00,1.280105,1.305373,1.24945899,1.3,20.16918547
ZEC,2016-11-03,07:45:00,1.3,1.4122,1.279279,1.4122,66.50255787
ZEC,2016-11-03,08:00:00,1.41001,1.414005,1.31016268,1.31016268,53.23673058999999
ZEC,2016-11-03,08:15:00,1.31012261,1.33011001,1.309505,1.31500001,7.8922083
ZEC,2016-11-03,08:30:00,1.31756454,1.35,1.3095048,1.332,24.080628519999998
ZEC,2016-11-03,08:45:00,1.33201332,1.37,1.32701328,1.369,27.479256550000002
ZEC,2016-11-03,09:00:00,1.36035404,1.37885556,1.28,1.2999999,48.91151964
ZEC,2016-11-03,09:15:00,1.29864051,1.33298832,1.29013696,1.31,19.35624397
ZEC,2016-11-03,09:30:00,1.31,1.32574399,1.25092929,1.258,21.03828568
ZEC,2016-11-03,09:45:00,1.25800001,1.269995,1.24000001,1.24998497,22.276122200000003
ZEC,2016-11-03,10:00:00,1.24998497,1.269,1.24003,1.25380857,8.620398510000001
ZEC,2016-11-03,10:15:00,1.25380857,1.277,1.23977001,1.24997747,18.68826323
ZEC,2016-11-03,10:30:00,1.24,1.260087,1.2304713,1.25001353,19.22650526
ZEC,2016-11-03,10:45:00,1.25001353,1.257995,1.241,1.257995,20.33627847
ZEC,2016-11-03,11:00:00,1.25766666,1.257995,1.241095,1.24837443,8.375526619999999
ZEC,2016-11-03,11:15:00,1.24800003,1.26153326,1.2479,1.26153326,14.84849748
ZEC,2016-11-03,11:30:00,1.26153326,1.26153326,1.24432039,1.24432039,16.21292293
ZEC,2016-11-03,11:45:00,1.24432039,1.25299,1.244,1.24760497,8.89561196
ZEC,2016-11-03,12:00:00,1.24660498,1.25212514,1.24499523,1.25212514,9.98984193
ZEC,2016-11-03,12:15:00,1.246005,1.25212513,1.24580006,1.24989,5.32822576
ZEC,2016-11-03,12:30:00,1.249895,1.2529899,1.245905,1.2512,10.69842691
ZEC,2016-11-03,12:45:00,1.2512,1.270005,1.249895,1.270005,24.31397464
ZEC,2016-11-03,13:00:00,1.27205426,1.33292,1.26999999,1.28058688,38.23916454
ZEC,2016-11-03,13:15:00,1.27738082,1.27975541,1.23999999,1.25000001,43.80641302
ZEC,2016-11-03,13:30:00,1.2514,1.26500001,1.25,1.265,41.47925019
ZEC,2016-11-03,13:45:00,1.265,1.27319323,1.265,1.2666,18.976030039999998
ZEC,2016-11-03,14:00:00,1.2666,1.298895,1.250001,1.28899498,27.482581760000002
ZEC,2016-11-03,14:15:00,1.27504001,1.28504666,1.254,1.27744,19.940721879999998
ZEC,2016-11-03,14:30:00,1.2735005,1.30041,1.26009523,1.29390795,30.63254086
ZEC,2016-11-03,14:45:00,1.29390794,1.30564397,1.2711,1.27110002,19.00263104
ZEC,2016-11-03,15:00:00,1.27110002,1.3089,1.27110002,1.29500501,21.6694114
ZEC,2016-11-03,15:15:00,1.29500001,1.30114601,1.28929441,1.29231003,10.56815188
ZEC,2016-11-03,15:30:00,1.292305,1.42,1.292305,1.42,89.12813981
ZEC,2016-11-03,15:45:00,1.4200001,1.51001,1.31696089,1.33,259.37873862
ZEC,2016-11-03,16:00:00,1.32999999,1.40001,1.3289,1.36001,72.42010442
ZEC,2016-11-03,16:15:00,1.360005,1.52,1.34890001,1.40042501,182.62864584
ZEC,2016-11-03,16:30:00,1.401,1.47,1.40042502,1.438005,114.17604428
ZEC,2016-11-03,16:45:00,1.43869323,1.4455,1.37998008,1.39000502,92.896834
